Date,Open,High,Low,Close,Adj Close,Volume,Type
01-01-2023,9.961036,10.052801,9.721011,9.982173,9.982173,194221164,SOLANA
02-01-2023,9.983222,11.372013,9.845211,11.272967,11.272967,558570124,SOLANA
03-01-2023,11.274727,13.500268,11.053267,13.344046,13.344046,1149255381,SOLANA
04-01-2023,13.351509,14.09534,12.922946,13.435113,13.435113,1142852070,SOLANA
05-01-2023,13.434939,13.7692,12.990192,13.41933,13.41933,564255825,SOLANA
06-01-2023,13.420552,13.541294,12.771324,13.525842,13.525842,517147909,SOLANA
07-01-2023,13.526757,13.526757,13.055073,13.092268,13.092268,210349250,SOLANA
08-01-2023,13.091505,14.333257,12.924286,14.319933,14.319933,535020165,SOLANA
09-01-2023,14.325533,17.361557,14.325533,16.302464,16.302464,2029272608,SOLANA
10-01-2023,16.296198,16.640087,15.711213,16.196724,16.196724,833408341,SOLANA
11-01-2023,16.196577,16.446589,15.368487,16.359415,16.359415,630606082,SOLANA
12-01-2023,16.789261,16.808434,15.744722,16.619043,16.619043,884719784,SOLANA
13-01-2023,16.618727,18.514465,16.381359,18.288445,18.288445,1037251176,SOLANA
14-01-2023,18.287506,24.565018,18.266825,24.249458,24.249458,3399684035,SOLANA
15-01-2023,24.259123,24.651987,22.116848,22.873306,22.873306,1661787281,SOLANA
16-01-2023,22.875086,24.752789,22.585596,23.577564,23.577564,1596086615,SOLANA
17-01-2023,23.580601,23.802801,22.882893,22.884064,22.884064,926501252,SOLANA
18-01-2023,22.886484,23.482634,20.693499,20.850634,20.850634,1427677518,SOLANA
19-01-2023,20.850828,21.765444,20.52895,21.426765,21.426765,799641392,SOLANA
20-01-2023,21.426407,25.678333,21.004543,25.548271,25.548271,1419157455,SOLANA
21-01-2023,25.551525,26.4105,24.614994,24.627838,24.627838,1948796870,SOLANA
22-01-2023,24.624043,25.38925,23.756323,24.23279,24.23279,1029738787,SOLANA
23-01-2023,24.231546,24.885983,23.973736,24.357807,24.357807,874649827,SOLANA
24-01-2023,24.352102,25.167665,22.647783,22.795673,22.795673,837211317,SOLANA
25-01-2023,22.796204,25.216593,22.397007,24.571445,24.571445,1166026842,SOLANA
26-01-2023,24.561398,25.120348,23.953539,24.350697,24.350697,809826004,SOLANA
27-01-2023,24.350981,24.861765,23.498766,24.407858,24.407858,682926581,SOLANA
28-01-2023,24.410603,25.017385,23.841827,23.981802,23.981802,489857934,SOLANA
29-01-2023,23.980787,26.652805,23.827845,26.132387,26.132387,1131621628,SOLANA
30-01-2023,26.135302,26.249315,23.489176,23.946321,23.946321,1084170329,SOLANA
31-01-2023,23.949322,24.341288,23.592249,23.952547,23.952547,617019880,SOLANA
01-02-2023,23.948515,25.126236,22.643122,24.993359,24.993359,984317489,SOLANA
02-02-2023,24.988787,26.037151,24.254307,24.265059,24.265059,1017290364,SOLANA
03-02-2023,24.260811,25.003572,24.118975,24.680897,24.680897,643813200,SOLANA
04-02-2023,24.679983,24.892578,24.317745,24.317745,24.317745,321758043,SOLANA
05-02-2023,24.319521,24.425667,23.116827,23.493439,23.493439,578466008,SOLANA
06-02-2023,23.493685,23.687357,22.603905,22.706388,22.706388,449884793,SOLANA
07-02-2023,22.697823,23.899799,22.607054,23.861357,23.861357,625438600,SOLANA
08-02-2023,23.860729,24.148073,22.881855,23.192671,23.192671,534148944,SOLANA
09-02-2023,23.198092,23.279087,20.203577,20.452127,20.452127,797436250,SOLANA
10-02-2023,20.45359,21.117727,19.843344,20.13011,20.13011,654189930,SOLANA
11-02-2023,20.128391,20.86068,20.119469,20.830095,20.830095,267159267,SOLANA
12-02-2023,20.828875,22.260618,20.646626,21.489979,21.489979,532943787,SOLANA
13-02-2023,21.486788,21.529655,19.870745,20.7901,20.7901,693292656,SOLANA
14-02-2023,20.781595,22.245665,20.711224,21.824953,21.824953,865868623,SOLANA
15-02-2023,21.824722,23.901154,21.502102,23.883902,23.883902,747616299,SOLANA
16-02-2023,23.88419,24.030554,22.264261,22.285952,22.285952,885086333,SOLANA
17-02-2023,22.282129,23.493309,22.153913,23.166758,23.166758,580803415,SOLANA
18-02-2023,23.167397,23.757635,22.967705,23.478592,23.478592,370892073,SOLANA
19-02-2023,23.476208,25.520731,23.268293,24.840752,24.840752,993875671,SOLANA
20-02-2023,24.846375,26.925581,24.342072,26.181387,26.181387,1459545676,SOLANA
21-02-2023,26.182732,26.424297,24.673828,24.948559,24.948559,925847245,SOLANA
22-02-2023,24.949751,25.135201,23.377934,24.181349,24.181349,892548647,SOLANA
23-02-2023,24.182421,24.635834,23.683668,23.900801,23.900801,579213279,SOLANA
24-02-2023,23.899637,24.05633,22.636557,23.053036,23.053036,612377428,SOLANA
25-02-2023,23.058849,23.273439,21.641863,22.523399,22.523399,547286025,SOLANA
26-02-2023,22.523857,23.484447,22.32424,23.256088,23.256088,370371591,SOLANA
27-02-2023,23.255739,23.367462,22.400766,22.692589,22.692589,475987023,SOLANA
28-02-2023,22.690985,22.725033,21.825813,21.916388,21.916388,351065863,SOLANA
01-03-2023,21.912136,22.795338,21.738678,22.506432,22.506432,346532018,SOLANA
02-03-2023,22.505314,22.575216,21.73251,21.984879,21.984879,322545445,SOLANA
03-03-2023,21.986517,22.001711,20.541079,21.399353,21.399353,489228523,SOLANA
04-03-2023,21.400026,21.536839,20.374146,20.966839,20.966839,249364880,SOLANA
05-03-2023,20.966393,21.616997,20.895563,20.978584,20.978584,278729462,SOLANA
06-03-2023,20.978413,21.098866,20.522215,20.635012,20.635012,318022843,SOLANA
07-03-2023,20.634691,20.886848,19.820597,20.244732,20.244732,394901279,SOLANA
08-03-2023,20.243931,20.332367,18.286304,18.421194,18.421194,620543521,SOLANA
09-03-2023,18.424707,18.689047,16.943132,17.308147,17.308147,754162560,SOLANA
10-03-2023,17.31225,18.323397,16.117346,18.243643,18.243643,944032048,SOLANA
11-03-2023,18.243105,18.848188,17.171354,18.225843,18.225843,696894876,SOLANA
12-03-2023,18.224798,20.392891,17.942476,20.310532,20.310532,666940879,SOLANA
13-03-2023,20.310793,21.340412,18.964472,20.433712,20.433712,1161164364,SOLANA
14-03-2023,20.434708,22.106672,19.914528,20.928034,20.928034,1130224251,SOLANA
15-03-2023,20.935295,21.488909,18.830359,19.290981,19.290981,816614774,SOLANA
16-03-2023,19.299496,19.883511,19.03631,19.730543,19.730543,438673097,SOLANA
17-03-2023,19.730066,21.676241,19.499819,21.629103,21.629103,623518286,SOLANA
18-03-2023,21.632441,22.861988,21.14187,21.195902,21.195902,789771840,SOLANA
19-03-2023,21.19829,22.453812,21.19829,21.903402,21.903402,475166077,SOLANA
20-03-2023,21.904612,23.831194,21.58556,22.176464,22.176464,1147250538,SOLANA
21-03-2023,22.177589,23.223715,21.639103,22.618267,22.618267,745081556,SOLANA
22-03-2023,22.614277,23.067322,21.149651,21.480486,21.480486,851680842,SOLANA
23-03-2023,21.475513,22.700598,21.216276,22.216778,22.216778,555730954,SOLANA
24-03-2023,22.214151,22.258434,20.355827,20.678856,20.678856,547225198,SOLANA
25-03-2023,20.677746,20.952482,20.184853,20.446646,20.446646,272949711,SOLANA
26-03-2023,20.444178,21.129982,20.34569,20.975519,20.975519,226663968,SOLANA
27-03-2023,20.976086,20.979824,19.508055,19.921675,19.921675,359607077,SOLANA
28-03-2023,19.922195,20.764208,19.665567,20.470697,20.470697,347656506,SOLANA
29-03-2023,20.465441,21.505144,20.458122,21.111467,21.111467,378726667,SOLANA
30-03-2023,21.11384,21.590513,20.232969,20.551046,20.551046,472449267,SOLANA
31-03-2023,20.552515,21.441999,20.155243,21.170496,21.170496,352864960,SOLANA
01-04-2023,21.171352,21.313889,20.858906,20.975641,20.975641,209186327,SOLANA
02-04-2023,21.087992,21.286085,20.315701,20.536976,20.536976,229561591,SOLANA
03-04-2023,20.536037,20.934097,20.024902,20.44305,20.44305,437266506,SOLANA
04-04-2023,20.44265,21.236378,20.35272,20.92462,20.92462,305630170,SOLANA
05-04-2023,20.924538,21.319178,20.670977,20.966007,20.966007,324885702,SOLANA
06-04-2023,20.969713,20.970621,20.506414,20.610128,20.610128,222557225,SOLANA
07-04-2023,20.611345,20.771725,20.267675,20.46994,20.46994,171660856,SOLANA
08-04-2023,20.466675,20.713236,19.947697,20.036449,20.036449,194413927,SOLANA
09-04-2023,20.03837,20.420706,19.964378,20.299465,20.299465,152580905,SOLANA
10-04-2023,20.300236,20.936527,20.115707,20.882357,20.882357,224169192,SOLANA
11-04-2023,20.883928,23.635956,20.860193,23.018827,23.018827,1083533914,SOLANA
12-04-2023,23.018801,24.344652,22.423229,23.985306,23.985306,1204250258,SOLANA
13-04-2023,23.810883,25.242456,23.704796,24.432308,24.432308,792335438,SOLANA
14-04-2023,24.435778,25.461393,23.817448,24.772722,24.772722,859037933,SOLANA
15-04-2023,24.774611,24.774611,23.872028,24.079378,24.079378,379745930,SOLANA
16-04-2023,24.079786,25.454144,23.947815,25.361927,25.361927,466841333,SOLANA
17-04-2023,25.36248,25.938335,24.406898,24.558846,24.558846,789077237,SOLANA
18-04-2023,24.564686,25.423292,24.102089,24.85269,24.85269,487693856,SOLANA
19-04-2023,24.85041,24.939508,22.266665,22.712835,22.712835,836873906,SOLANA
20-04-2023,22.70462,23.120537,21.664963,22.18144,22.18144,658826580,SOLANA
21-04-2023,22.183802,22.37649,21.133299,21.278135,21.278135,489546774,SOLANA
22-04-2023,21.277473,21.948162,21.108492,21.816288,21.816288,246809009,SOLANA
23-04-2023,21.816427,22.217382,21.067719,21.480139,21.480139,314447869,SOLANA
24-04-2023,21.47946,21.950172,21.078793,21.391069,21.391069,358681450,SOLANA
25-04-2023,21.389921,21.937141,20.783756,21.927254,21.927254,367752382,SOLANA
26-04-2023,21.927477,22.921377,20.574015,21.283012,21.283012,690088236,SOLANA
27-04-2023,21.284691,22.483582,21.226152,22.340115,22.340115,509745191,SOLANA
28-04-2023,22.339731,23.460052,22.210754,23.366287,23.366287,511781472,SOLANA
